IMEI,Maker,Model,Color,Color Temp,Lux,R,G,B,C,Red,Green,Blue
,PostCards,Pantone,14-1513,2424,1147,13478,5938,5259,25202,136,60,53
,PostCards,Pantone,14-1419,1838,3231,14729,8113,6547,30412,123,68,54
,PostCards,Pantone,1797,60467,64016,8616,1680,1879,11947,183,35,40
,PostCards,Pantone,16-1329,3370,844,12721,5279,4588,22995,141,58,50
,PostCards,Pantone,9241,3866,6317,16345,12251,10538,41105,101,76,65
,PostCards,Pantone,17-1524,2335,755,8050,3504,2954,14735,139,60,51
,PostCards,Pantone,691,3789,5491,15629,11315,9965,38692,103,74,65
,PostCards,Pantone,14-1911,2393,2612,14335,8303,7977,31695,115,66,64
,PostCards,Pantone,493,5136,425,11585,5015,5094,22110,133,57,58
,PostCards,Pantone,199,39596,63311,10148,1593,1974,13283,194,30,37
,PostCards,Pantone,677,5085,4624,14647,10806,10488,37624,99,73,71
,PostCards,Pantone,15-1816,1637,2049,14363,7353,6686,29236,125,64,58
,PostCards,Pantone,214,21701,63325,9530,1771,2613,13626,178,33,48
,PostCards,Pantone,19-2025,52024,65371,3823,1402,1554,6802,143,52,58
,PostCards,Pantone,9320,4722,4702,15911,11364,11024,40058,101,72,70
,PostCards,Pantone,18-2326,12731,64128,6917,1818,2777,11409,154,40,62
,PostCards,Pantone,18-3025,2485,65156,6369,3078,4332,13987,116,56,78
,PostCards,Pantone,7654,7088,568,7289,4104,4840,16607,111,63,74
,PostCards,Pantone,5125,1843,127,2717,1421,1685,5942,116,60,72
,PostCards,Pantone,19-3438,3109,65071,3435,1481,2306,7266,120,51,80
,PostCards,Pantone,14-3612,11663,2612,9517,7444,8262,26250,92,72,80
,PostCards,Pantone,15-2706,3860,4689,11245,8646,7250,28383,101,77,65
,PostCards,Pantone,535,13603,2509,6148,5811,6376,19143,81,77,84
,PostCards,Pantone,17-4021,8357,3232,5540,5805,5644,17727,79,83,81
,PostCards,Pantone,5405,12063,708,2172,1827,2008,6191,89,75,82
,PostCards,Pantone,656,6881,7271,13704,13171,12390,41493,84,80,76
,PostCards,Pantone,277,12086,5210,9471,10265,10817,32142,75,81,85
,PostCards,Pantone,19-3935,31887,220,2174,1592,2168,6064,91,66,91
,PostCards,Pantone,291,15967,5047,7834,9741,10635,29700,67,83,91
,PostCards,Pantone,18-4330,17859,2201,2334,4749,6198,13865,42,87,113
,PostCards,Pantone,18-4530,38398,1310,1778,2745,3341,8165,55,85,104
,PostCards,Pantone,19-3921,24553,403,1680,1338,1589,4750,90,71,85
,PostCards,Pantone,635,8153,7172,10012,11696,10982,34579,73,86,80
,PostCards,Pantone,14-4516,9668,5516,7316,9133,8913,26717,69,87,85
,PostCards,Pantone,18-4525,24654,2659,2157,4537,5193,12418,44,93,106
,PostCards,Pantone,9044,6385,7818,11476,12339,10836,36689,79,85,75
,PostCards,Pantone,15-5210,7913,4742,6732,7739,7223,22788,75,86,80
,PostCards,Pantone,7720,8880,1560,1579,2297,2121,6270,64,93,86
,PostCards,Pantone,3278,6316,4786,2201,5147,3584,11439,49,114,79
,PostCards,Pantone,17-5722,7128,3066,3188,4315,3701,11678,69,94,80
,PostCards,Pantone,12-5204,5916,8165,12091,12706,10881,37785,81,85,73
,PostCards,Pantone,5555,5840,2460,3736,3863,3311,11431,83,86,73
,PostCards,Pantone,18-5621,8652,1882,2388,2991,2819,8490,71,89,84
,PostCards,Pantone,9041,4856,8046,13247,12570,10237,38200,88,83,68
,PostCards,Pantone,7726,5207,3046,1854,3271,2069,7549,62,110,69
,PostCards,Pantone,350,4867,1049,1602,1578,1258,4635,88,86,69
,PostCards,Pantone,19-6110,5017,675,1749,1381,1279,4562,97,77,71
,PostCards,Pantone,345,5761,6629,7020,8863,6941,24134,74,93,73
,PostCards,Pantone,15-6437,4182,6918,5971,7678,4457,19176,79,102,59
,PostCards,Pantone,7737,3838,5911,4848,6212,3169,15053,82,105,53
,PostCards,Pantone,18-0119,4323,2094,2958,2929,2142,8361,90,89,65
,PostCards,Pantone,11-4804,5004,7982,15266,13621,11696,42903,90,80,69
,PostCards,Pantone,12-0313,4352,7960,11382,11223,8277,32695,88,87,64
,PostCards,Pantone,7493,3821,6926,9541,9199,6142,26308,92,89,59
,PostCards,Pantone,383,2922,5898,7204,6620,3022,17862,102,94,43
,PostCards,Pantone,12-0524,3277,9086,14491,12425,7952,36943,100,85,54
,PostCards,Pantone,13-0645,2867,9099,12939,11044,5645,31449,104,89,45
,PostCards,Pantone,583,2948,7241,8939,8208,3842,22291,102,93,43
,PostCards,Pantone,394,2642,10203,14920,12141,5623,34750,109,89,41
,PostCards,Pantone,15-0543,2667,6363,9354,7630,3611,21654,110,89,42
,PostCards,Pantone,3985,2512,3243,5775,4289,2256,12967,113,84,44
,PostCards,Pantone,600,3055,10080,16694,13753,8481,41319,103,84,52
,PostCards,Pantone,605,2371,8388,14023,10332,4599,30705,116,85,38
,PostCards,Pantone,15-0942,2224,4262,9367,6212,3418,19787,120,80,44
,PostCards,Pantone,4545,3388,7450,13683,11209,7923,34666,100,82,58
,PostCards,Pantone,466,2467,4111,10067,6788,4556,22369,114,77,51
,PostCards,Pantone,16-1432,1953,844,6827,3010,2309,12307,141,62,47
,PostCards,Pantone,732,2005,555,2356,1348,1103,4945,121,69,56
,PostCards,Pantone,4685,3089,5235,13392,9552,7505,31916,106,76,59
,PostCards,Pantone,16-1439,1689,2009,8913,4680,3393,17433,130,68,49
,PostCards,Pantone,476,2522,620,2437,1498,1302,5412,114,70,61
,PostCards,Pantone,13-5304,3820,5293,12195,9487,7817,30922,100,78,64
,PostCards,Pantone,414,4945,4173,7965,7094,6063,22258,91,81,69
,PostCards,Pantone,17-1210,3921,2769,5977,4792,3899,15439,98,79,64
,PostCards,Pantone,2,4619,5753,11516,9892,8363,31400,93,80,67
,PostCards,Pantone,7,6150,2385,5060,4503,4207,14430,89,79,74
,PostCards,Pantone,19-4305,3650,444,1620,1087,1018,3812,108,72,68
,PostCards,Pantone,485,44653,63262,11180,1924,2297,14979,190,32,39
,PostCards,Pantone,17-1564,10216,64073,11349,2684,2753,16593,174,41,42
,PostCards,Pantone,17-1456,63261,64573,12121,3360,3186,18609,166,46,43
,PostCards,Pantone,7415,1857,2816,13958,7677,6516,29104,122,67,57
,PostCards,Pantone,17-1436,2289,638,6612,2880,2406,12138,138,60,50
,PostCards,Pantone,7590,2928,3277,11237,7335,6356,25878,110,72,62
,PostCards,Pantone,13-1107,4477,6106,13663,11141,9622,36166,96,78,67
,PostCards,Pantone,19-1250,3676,268,4397,1803,1571,7834,143,58,51
,PostCards,Pantone,18-1248,5894,170,7013,2558,2172,11795,151,55,46
,PostCards,Pantone,166,110,64619,12236,3219,2768,18122,172,45,38
,PostCards,Pantone,152,15674,65179,12344,3665,2916,18913,166,49,39
,PostCards,Pantone,16-1255,2294,1533,12802,5190,3419,21807,149,60,39
,PostCards,Pantone,15-1247,2089,1681,13646,5799,4155,24102,144,61,43
,PostCards,Pantone,14-1119,2689,4975,14096,9423,7270,32148,111,74,57
,PostCards,Pantone,9180,3778,8508,17202,14006,10948,44546,98,80,62
,PostCards,Pantone,142,1817,4712,15024,8441,5100,29685,129,72,43
,PostCards,Pantone,14-0848,2331,6770,14675,9975,5751,31891,117,79,45
,PostCards,Pantone,14-0852,2008,7053,16112,10048,4885,32553,126,78,38
,PostCards,Pantone,108,2259,9362,17236,12042,5531,36795,119,83,38
,PostCards,Pantone,7548,1952,6955,16126,9857,4601,32061,128,78,36
,PostCards,Pantone,13-0850,2388,8106,16181,11359,6242,35600,115,81,44
,PostCards,Pantone,12-0727,2629,9239,17061,12767,7341,39307,110,82,47
,PostCards,Pantone,100,2855,10573,17868,14242,8340,42918,106,84,49
